MSFT,FB,T,INTC,TSM,ORCL,CHL,VZ,CSCO,IBM,SAP,NVDA,AVGO,VOD.L,MEL.L,MCRO.L,SGE.L,KNM.L,RSW.L,SXS.L,ISAT.L,MONY.L,AVV.L,TALK.L,CCC.L,SYNC.L,IQE.L,HSBA.L,BNC.L,PRU.L,LLOY.L,RBS.L,BARC.L,STAN.L,AV.L,LGEN.L,LSE.L,SDRC.L,III.L,OML.L,HL.L,LAND.L,SMT.L,BLND.L,RSA.L,STJ.L,SGRO.L,ADM.L,DLG.L,INVR.L,CMC.DE,BAC,SHB.L,HICL.L,ICP.L,JLT.L,WFC,BEZ.L,JUP.L,ATST.L,V,IGG.L,ASHM.L,PG,BUD,KO,TM,UN,PEP,PM,BTI,MO,DGE.L,RB.L,CCL.L,ABF.L,MNDI.L,RICO.L,SMDS.L,SKG.L,GKN.L,RPC.L,BC94.L,BD15.L,BOO.L,NESM.DE,FEVR.L,BVIC.L,CINE.L,TCG.L
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,83.910004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72.82,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82.400002,,34.509998,44.630001,,,50.16,45.419998,35.900002,148.970001,113.75,211.213257,,223.861053,188680,2697,759,592322,5530,2499,494.600006,330.899994,,165.813461,1056,,,731.599976,,1889.5,65.989998,274.399994,185,726.099976,500.5,268.899994,,2510,,190.699997,1577,,,624,609,,558,1879,355.600006,538.761536,83.089996,26.507046,993,1.49377,974.5,1289,54.150002,504.5,,,,670,359.100006,88.43,114.989998,45.338291,123.290001,,,102.639999,66.18,66.419998,,,4892.566895,3086,1743,98187.5,527.5,2299,302.5,931,,116,,,,755.5,640,111.300003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.199997,,34.52,45.650002,42.099998,49.200001,,44.77,,149.119995,113.940002,,,223.616348,186200,2702,,,5410,2495,495.200012,333.399994,2606,165.518234,1060,1.56784,178.75,732.400024,495,1880,66.059998,274,185.449997,721.200012,498.200012,267.799988,3784,2526,9.165,188.800003,1587,937,4.572,618.5,613,1142,559.5,1875,356.799988,,,26.64645,993,1.49442,1004,1298,54.599998,502,586,7.76989,111.019997,674,361.899994,,,46.171459,124.370003,56.959999,114.436096,,,65.879997,2579,6385,4921.306152,3091,1753,98000,524,,296,931,,,190.5,71.709999,1980,761,637,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.391197,177.880005,33.970001,44.138428,42.150002,50.880001,50.639999,48.869999,34.43,152.159119,114.150002,201.860001,252.899994,215.600006,195950,2584,738,531042,4995,2538,589.5,319.299988,2510,208.5,999.5,1.5693,144,748.299988,501,1862.5,68.910004,285.799988,183.800003,753.700012,512.5,268.5,3794,2488,6.30077,188.5,1554,955.5,4.389934,590.5,630,1176,530,1930,369.399994,540,87.839996,27.799999,983,1.4941,977,1295,55.482357,497.299988,590.5,7.79609,109.515953,642,368.346313,87.040001,117.806793,46.07,124.230003,56.552326,110.599998,105.940002,65.580002,64.919998,2608,6845,5085,3355,1866,117617,508.5,2242,320.700012,971.5,,,200.5,71.300003,2146,757,656.5,119.800003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83.630005,178.070007,33.720001,45.860001,,49.200001,50.799999,44.220001,34.040001,148.889999,113.080002,214.031296,263.26001,222.245972,188866,,753.5,592947,,2516,499.600006,330.5,2569,186.478638,,,175.5,736,,,,274.899994,180.699997,,493.700012,266.100006,3721,,6.30333,188.899994,1565,921,4.422909,594.5,609.5,1143,,1861,358.600006,533.818726,82.529999,26.128656,988.5,1.49616,1006,1289,,509.5,587.5,7.78962,,,361.399994,88.870003,114.769997,47.044308,124.870003,57.080002,114.96244,102.720001,64.190002,65.730003,,6417,4921.306152,3068,1776,100267,515.5,,315,933,124500,116,190,72.029999,1991,743,649.5,116.300003
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
